ts_code,code,weight,value分,pe_ttm,pb,circ_mv亿,name
688690.SH,688690,0.0037593984962406013,0.937,78.0,5.56,106.1,纳微科技
603323.SH,603323,0.0037593984962406013,0.937,4.9,0.52,99.1,苏农银行
300777.SZ,300777,0.0037593984962406013,0.937,37.9,3.51,151.4,中简科技
688508.SH,688508,0.0037593984962406013,0.937,41.4,2.83,77.1,芯朋微
688187.SH,688187,0.0037593984962406013,0.936,17.2,1.66,450.2,时代电气
603313.SH,603313,0.0037593984962406013,0.936,28.9,1.28,47.0,梦百合
002749.SZ,002749,0.0037593984962406013,0.936,16.3,3.43,59.6,国光股份
603197.SH,603197,0.0037593984962406013,0.935,27.6,2.21,69.5,保隆科技
688209.SH,688209,0.0037593984962406013,0.935,49.1,3.97,87.1,英集芯
600850.SH,600850,0.0037593984962406013,0.934,31.1,3.24,156.2,电科数字
002179.SZ,002179,0.0037593984962406013,0.934,33.4,2.98,714.9,中航光电
000921.SZ,000921,0.0037593984962406013,0.934,9.7,1.77,205.2,海信家电
600662.SH,600662,0.0037593984962406013,0.933,10.6,2.33,117.0,外服控股
603112.SH,603112,0.0037593984962406013,0.933,16.2,2.17,85.6,华翔股份
600668.SH,600668,0.0037593984962406013,0.933,6.3,0.75,43.6,尖峰集团
600908.SH,600908,0.0037593984962406013,0.932,5.4,0.56,114.0,无锡银行
603689.SH,603689,0.0037593984962406013,0.932,14.0,1.23,43.4,皖天然气
300320.SZ,300320,0.0037593984962406013,0.931,26.0,2.38,48.7,海达股份
603160.SH,603160,0.0037593984962406013,0.931,36.7,3.28,307.4,汇顶科技
300576.SZ,300576,0.0037593984962406013,0.931,108.2,7.42,79.7,容大感光
688099.SH,688099,0.0037593984962406013,0.93,38.3,4.55,334.3,晶晨股份
600993.SH,600993,0.0037593984962406013,0.93,19.3,2.56,110.0,马应龙
688101.SH,688101,0.0037593984962406013,0.93,14.3,1.22,53.9,三达膜
600161.SH,600161,0.0037593984962406013,0.929,27.9,2.59,303.9,天坛生物
688615.SH,688615,0.0037593984962406013,0.929,53.9,8.39,169.2,合合信息
600283.SH,600283,0.0037593984962406013,0.928,22.2,1.67,50.3,钱江水利
688665.SH,688665,0.0037593984962406013,0.928,34.0,3.91,44.8,四方光电
601607.SH,601607,0.0037593984962406013,0.927,11.1,0.84,479.7,上海医药
002311.SZ,002311,0.0037593984962406013,0.927,16.8,3.34,844.4,海大集团
600812.SH,600812,0.0037593984962406013,0.927,52.7,1.75,96.4,华北制药
601038.SH,601038,0.0037593984962406013,0.926,17.8,1.88,94.0,一拖股份
002959.SZ,002959,0.0037593984962406013,0.926,18.0,2.59,69.5,小熊电器
688526.SH,688526,0.0037593984962406013,0.926,16.7,1.64,69.4,科前生物
300174.SZ,300174,0.0037593984962406013,0.926,24.0,1.72,58.4,元力股份
688093.SH,688093,0.0037593984962406013,0.925,21.9,3.14,87.5,世华科技
603939.SH,603939,0.0037593984962406013,0.925,18.1,2.71,296.6,益丰药房
300893.SZ,300893,0.0037593984962406013,0.925,30.1,5.18,53.2,松原安全
002867.SZ,002867,0.0037593984962406013,0.924,12.5,2.17,129.1,周大生
600928.SH,600928,0.0037593984962406013,0.924,6.0,0.47,160.1,西安银行
002884.SZ,002884,0.0037593984962406013,0.924,14.2,2.86,50.4,凌霄泵业
301267.SZ,301267,0.0037593984962406013,0.923,32.7,2.44,111.5,华厦眼科
603444.SH,603444,0.0037593984962406013,0.923,15.1,4.9,270.2,吉比特
300595.SZ,300595,0.0037593984962406013,0.923,27.0,2.64,96.8,欧普康视
600660.SH,600660,0.0037593984962406013,0.923,16.2,4.03,1161.1,福耀玻璃
002049.SZ,002049,0.0037593984962406013,0.922,40.0,4.36,572.5,紫光国微
688333.SH,688333,0.0037593984962406013,0.922,120.6,5.08,253.2,铂力特
000936.SZ,000936,0.0037593984962406013,0.921,20.8,1.23,66.1,华西股份
