ts_code,ann_date,proc,回购金额比例,回购股本比例,回购溢价,信心强度,roe,pb,破净,dv_ttm,ocf_to_profit,事件前2月跌幅,cur_close,high_limit,low_limit,现价低于回购上限
002212.SZ,2026-05-22,完成,0.010355282020784508,0.010174200291896281,-0.6726036357265294,0.6544580096189418,-1.0519,0.8985,True,0.2717,,-0.023160756,20.225506,7.72,7.23,False
002026.SZ,2026-06-11,完成,0.01143741474566296,0.01087117544955123,-0.7195087283100374,0.6519916142557651,6.7734,1.3569,False,1.0924,100.9186,-0.077566504,46.552376,13.21,11.97,False
002099.SZ,2026-04-02,实施,0.012807812702082342,0.014044471353356673,-0.8585475896650273,0.6418793932667407,0.1421,2.3047,False,,70.2514,0.14849925,36.17472,7.47,5.66,False
601010.SH,2026-05-26,实施,0.012060232732235918,0.01170995670995671,-0.7931547361880826,0.6216549512886915,1.1133,0.7026,True,6.4916,99.3176,-0.31555557,7.9835706,1.73,1.53,False
600603.SH,2026-06-03,实施,0.020017108798021366,0.01694954961289608,-0.9880156016597953,0.6165988407941793,0.1996,0.7833,True,,1082.6407,-0.26339293,816.6038,10.96,4.62,False
000656.SZ,2026-05-26,完成,0.012449571720759603,0.0040292359006859485,-0.5177209795056121,0.6141324454310025,-1.0215,3.7092,False,,,0.058823586,9.9562,5.16,4.03,False
002758.SZ,2026-06-18,实施,0.011346863728065811,0.011173616185684564,-0.7660317026774471,0.610802811690714,1.0478,0.7937,True,,-301.717,-0.171134,35.077785,8.3,7.77,False
600821.SH,2026-06-19,实施,0.011686143747520925,0.011492102494569436,-0.783648161558709,0.6095696140091256,-0.2127,1.4293,False,3.0534,1829.9979,-0.3024494,31.66139,6.85,6.36,False
601636.SH,2026-04-02,实施,0.011457172297420165,0.009483102309159445,-0.682278230895859,0.5782463928967814,6.7212,1.1339,False,0.697,116.4122,-0.15834522,32.362606,7.43,5.87,False
002446.SZ,2026-06-03,实施,0.010473279825206665,0.01060903996444789,-0.7758938544318533,0.5413737822172895,0.9856,3.5066,False,,-164.8033,-0.010373533,58.271843,10.63,7.2,False
002216.SZ,2026-04-24,完成,0.012522719838523644,0.013341144014933264,-0.904230797957613,0.5320014798372179,8.8529,2.6449,False,2.2026,10.4536,0.17452013,127.85539,13.5,12.2,False
000415.SZ,2026-06-02,实施,0.01579462583221742,0.014047402545586389,-0.9430352253691334,0.5239856949068936,-1.3329,0.8327,True,,1177.5431,-0.055684388,90.78847,4.85,4.17,False
300787.SZ,2026-06-18,实施,0.010043788755914683,0.010198032102680183,-0.7652072969446277,0.5104205204094217,5.732,1.9495,False,2.0877,146.0998,-0.2022965,41.98339,9.95,9.06,False
002311.SZ,2026-04-24,完成,0.012903408786975396,0.011170228324007579,-0.8255442971828617,0.5064742878283388,16.8481,3.1953,False,2.789,104.9352,-0.12087083,307.96588,59.5,52.25,False
300685.SZ,2026-04-02,实施,0.01004961322134736,0.011146608217094766,-0.8084466491177577,0.5006782587248736,13.8082,4.4453,False,1.2976,89.8803,0.06084168,86.857124,22.53,19.48,False
002511.SZ,2026-06-02,实施,0.012346029834092177,0.011785029131251039,-0.8620625086337637,0.4906893575040079,1.8632,1.7217,False,1.4077,118.0434,-0.10711968,57.143192,8.54,7.33,False
000055.SZ,2026-06-22,实施,0.012621717689373084,0.012512591942482665,-0.9002250020802033,0.48871624121346646,0.5059,0.7012,True,,-264.9933,0.07669616,37.68479,3.76,3.51,False
601222.SH,2026-04-15,完成,0.012504241375311599,0.00928317307875927,-0.7442384447412254,0.48748304353187816,2.3017,0.832,True,1.4216,-73.1207,-0.0048701167,33.681583,8.89,7.76,False
002224.SZ,2026-06-23,实施,0.012284076063404566,0.010198241352298154,-0.8217036505846079,0.4186706128992478,0.5702,0.9788,True,0.4255,320.9955,-0.1991421,25.182793,4.49,3.46,False
002452.SZ,2026-06-09,实施,0.010115532814014462,0.010447146224912742,-0.8283418047089846,0.4176840547539771,2.0521,2.6018,False,1.0526,106.2304,0.07483494,65.29666,11.3,10.87,False
002241.SZ,2026-04-02,实施,0.015002976461746588,0.012465982028005277,-0.9375271384151731,0.41731409544950054,7.5119,2.2735,False,1.2954,49.8103,-0.123077035,576.5414,34.09,20.35,False
601996.SH,2026-05-29,完成,0.01039492177202356,0.009389387672930063,-0.7796214754052422,0.4085583919102232,-1.1202,1.2155,False,,,0.102362156,12.199141,3.06,2.72,False
300298.SZ,2026-05-23,实施,0.010627903461182923,0.010398149299400689,-0.8384242689093707,0.3854975952645209,3.1444,3.0964,False,1.32,39.0166,0.05448723,91.93614,17.1,16.22,False
002374.SZ,2026-04-22,完成,0.010999761960917339,0.01004414555860374,-0.8307666257063163,0.34196571710445184,-31.5265,4.8625,False,,,-0.18372709,20.95396,3.49,3.12,False
000650.SZ,2026-06-02,实施,0.012342321844913885,0.011686265581342784,-0.9569266923524263,0.334319891478604,2.1983,1.1666,False,2.7881,51.2498,-0.06861067,125.67936,5.73,5.26,False
300079.SZ,2026-04-03,完成,0.012200060260637089,0.01114711584125895,-0.9068408550460011,0.3304969786656801,0.5828,1.7209,False,0.1967,162.4758,-0.14096189,57.010014,6.1,5.13,False
002424.SZ,2026-06-17,完成,0.016487509268565792,0.008655490733246403,-0.8257568679218386,0.2795659144160809,0.8894,1.9052,False,,-132.2462,-0.14893621,46.06338,8.29,8.01,False
600971.SH,2026-06-19,实施,0.010716523535382778,0.010679956532576912,-0.9259470507753894,0.26661733875940313,0.2583,0.7378,True,3.4,893.5079,0.010120511,102.899345,7.62,7.1,False
300304.SZ,2026-05-06,实施,0.010280946159765906,0.009296314296471458,-0.8566296995324405,0.26501418177333824,2.0585,3.1594,False,0.2438,12.4299,-0.22119814,158.80385,14.68,11.27,False
000050.SZ,2026-05-15,完成,0.010893593917820152,0.008939917774577429,-0.8461243283725468,0.24639289678135406,-0.5126,0.6784,True,,,-0.14222217,75.78438,10.07,7.63,False
000652.SZ,2026-05-21,完成,0.012648257644123105,0.011128288254605639,-0.9593559525445774,0.2397336293007769,0.1916,1.0213,False,0.8089,37.6696,-0.0051546693,99.0528,4.44,4.01,False
002252.SZ,2026-06-06,完成,0.013785818466480144,0.010407066857841936,-0.9450020494759958,0.2218522629177457,0.9721,1.0592,False,0.9227,42.1114,-0.09265733,115.500885,7.09,6.62,False
300525.SZ,2026-04-29,完成,0.01021014178376725,0.008989213178873445,-0.8658620272015773,0.20693057097052658,-2.4664,3.03,False,1.19,,-0.2257806,80.97283,12.1,10.99,False
600704.SH,2026-06-17,完成,0.010584073118094587,0.010103642517065869,-0.9529736602970273,0.1647552102602047,8.4183,0.5828,True,6.5263,-107.9503,-0.09142858,111.73184,5.31,4.64,False
600340.SH,2026-05-12,完成,0.035957530246701924,0.005079995059084883,,,,,False,,,-0.28387094,31.525019,,8.14,False
920833.BJ,2026-06-18,完成,0.024458160166049507,0.02428363283147159,,,,1.8766,False,2.4947,,,,20.0,13.7,False
920429.BJ,2026-06-04,实施,0.019805488900114146,0.017264661460843857,,,,1.6388,False,2.2462,,,,25.0,10.83,False
920445.BJ,2026-04-24,完成,0.013589465195721158,0.013523288201049373,,,,4.8334,False,2.9715,,,,16.0,9.4434,False
920976.BJ,2026-05-13,完成,0.013519620979927116,0.014093757311136604,,,,7.4254,False,2.6169,,,,35.0,28.0,False
920014.BJ,2026-06-02,实施,0.010282705176750818,0.008707109462132925,,,,1.5462,False,2.0163,,,,20.0,10.24,False
