date,elg_net,lg_net,md_net,sm_net,turnover,main_net
2025-03-19,-236.4885530000003,-267.84621599999963,57.51315599999949,446.821575,14662.328429999998,-504.33476899999994
2025-03-20,-102.02237800000012,-196.56845099999978,-8.57743900000006,307.1683020000003,14413.048178000001,-298.59082899999987
2025-03-21,-401.80655500000006,-430.8970079999998,95.15331400000007,737.550229,15504.233504999998,-832.7035629999998
2025-03-24,-250.51669600000008,-341.27563500000014,2.2596640000000594,589.5326519999995,14503.802463,-591.7923310000002
2025-03-25,-141.36580699999985,-184.60508899999968,25.644926999999583,300.32595799999984,12580.005625999998,-325.9708959999995
2025-03-26,27.870506000000237,-124.51993399999999,-76.7014149999991,173.35077399999946,11540.758626000003,-96.64942799999976
2025-03-27,-60.22675299999993,-178.48964499999994,-29.36784399999976,268.0842129999995,11903.813288999998,-238.71639799999986
2025-03-28,-139.51355300000012,-211.77379299999998,22.318440000000596,328.9689829999998,11187.712238000002,-351.28734600000007
2025-03-31,-190.86183900000006,-237.49835300000012,9.278569999999553,419.0817039999999,12213.003673000001,-428.3601920000002
2025-04-01,-19.609491000000016,-112.29214899999947,-39.18127399999946,171.08286799999996,11319.447968999999,-131.90163999999947
2025-04-02,4.939562999999989,-101.85955,-65.15956099999957,162.07955,9743.010348,-96.919987
2025-04-03,-134.926459,-217.21086899999938,10.17182100000009,341.96553599999993,11374.596706000002,-352.13732799999934
2025-04-07,-776.4690269999998,-759.792800999999,241.65718400000037,1294.6046759999997,15870.796240000001,-1536.2618279999988
2025-04-08,-260.13639700000004,-399.9423809999995,-10.649736999999732,670.728557,16239.667084,-660.0787779999996
2025-04-09,116.67906399999987,-82.45204499999956,-137.49227399999947,103.26515799999981,16992.742895,34.22701900000031
2025-04-10,157.63748699999974,-78.42170199999958,-154.09863700000048,74.88275799999982,16091.865067000002,79.21578500000015
2025-04-11,69.01868000000007,-90.02818299999983,-121.32838799999952,142.33784199999943,13484.808344000003,-21.009502999999754
2025-04-14,25.499032000000028,-6.223634999999777,-8.614639000000059,-10.660841000000387,12772.804191999998,19.27539700000025
2025-04-15,-76.23438100000006,-130.78711700000017,2.3513789999999104,204.67011100000144,10770.392177,-207.02149800000024
2025-04-16,-139.22453399999998,-207.86534499999956,5.604596999999881,341.4853049999997,11117.149105999999,-347.08987899999954
2025-04-17,43.443264000000056,-74.35225799999982,-101.54252799999938,132.4515769999996,9993.363285,-30.908993999999765
2025-04-18,-20.981377999999932,-119.18579699999988,-24.634449999999628,164.80158900000006,9145.183105000002,-140.16717499999982
2025-04-21,134.59127,14.376542000000178,-98.34590099999978,-50.62192899999916,10411.752374000002,148.96781200000018
2025-04-22,-68.05338399999998,-137.927625,-4.244331999999285,210.22537199999988,10898.292088,-205.98100899999997
2025-04-23,74.74751000000015,-67.67594400000051,-101.82982400000022,94.75831199999973,12295.80674,7.071565999999635
2025-04-24,-143.44466500000004,-212.1882120000001,7.357170000000298,348.27557899999994,11088.582606,-355.6328770000001
2025-04-25,77.98309699999989,-45.80321499999985,-99.56732899999992,67.38746899999977,11134.074011,32.179882000000035
2025-04-28,-145.58222,-172.93783899999968,33.68427199999988,284.83576299999953,10561.550842,-318.5200589999997
2025-04-29,21.743785000000056,-45.2654629999999,-84.02607999999971,107.54775300000011,10219.262054999997,-23.52167799999984
2025-04-30,31.793478000000118,-38.92333900000006,-70.1890200000003,77.31881499999984,11691.248696999999,-7.129860999999945
2025-05-06,195.574725,59.75671099999994,-148.5386200000003,-106.79289699999988,13359.834418999999,255.33143599999994
2025-05-07,-76.13364000000004,-199.95977199999987,-31.633453999999166,307.7268600000009,14680.976869,-276.09341199999994
2025-05-08,70.00887799999994,-88.78676599999964,-94.32613599999993,113.10403300000057,12932.585156999998,-18.777887999999706
2025-05-09,-173.71141099999994,-191.91402800000012,61.646206999999286,303.9792960000001,11918.856393,-365.62543900000003
2025-05-12,112.57777999999989,22.978829999999704,-94.15143399999961,-41.40511000000015,13082.757195,135.55660999999958
