Signal Date,code,Name,Close,Score,VolRatio,market_vol_ratio,mom_acc,ret_10,ret_20,dist_high,bias_20,macd_hist,bb_position,alpha_mom10,sector_rs_5,sector_rs_10,gap,gap_ma3,reversal,rsi,beta_60d,clv_ma5,vol_10,vol_20,vol_5,skew_10,skew_20,skew_5,atr_ratio,vol_ratio,vol_ratio5,vol_ratio10,turnover_cv,turnover_cv10,turnover_cv5,open_strength_ma5,vpt,buy_force,sector_heat,sector_support,pv_corr,smart_proxy,illiq_ma10,amp_ma_5,amp_ma_10,amp_ma_20,vol_z,mom_10,near_high,pv_divergence,vol_stability,downside_rs,accum_trend,coil,mf_cum20,mf_trend,elg_cum20,size_lnmv,val_pe_ttm,val_pb,val_dv_ttm,to_rate_f
2026-05-26,301266,宇邦新材,26.45,0.992,0.646,0.143,0.781,0.004,0.003,0.002,0.002,0.025,0.041,,0.003,0.006,0.823,0.005,0.723,0.004,0.463,0.52,0.957,0.905,0.98,0.008,0.006,0.021,0.956,0.646,0.398,0.541,0.046,0.191,0.046,0.092,0.025,0.19,0.3,0.3,0.029,0.237,0.924,0.525,,,0.518,,,0.069,,0.006,0.085,0.838,,,,,,,,
2026-05-26,000858,五 粮 液,83.36,0.992,0.383,0.143,0.965,0.377,0.068,0.314,0.21,0.114,0.438,,0.438,0.218,0.447,0.185,0.381,0.002,0.036,0.134,0.024,0.047,0.025,0.19,0.029,0.135,0.048,0.383,0.486,0.28,0.766,0.349,0.025,0.685,0.366,0.293,0.9,0.9,0.054,0.372,0.006,0.038,,,0.2,,,0.551,,0.726,0.47,0.161,,,,,,,,
2026-05-26,600105,永鼎股份,46.28,0.992,0.801,0.143,0.437,0.167,0.441,0.545,0.46,0.033,0.578,,0.117,0.114,0.146,0.49,0.557,0.527,0.865,0.963,0.679,0.793,0.756,0.09,0.351,0.036,0.916,0.801,0.951,0.901,0.173,0.454,0.778,0.134,0.563,0.429,0.9,0.9,0.195,0.993,0.009,0.745,,,0.923,,,0.037,,0.894,0.071,0.916,,,,,,,,
2026-06-12,000977,浪潮信息,386.49,1.0,0.11,0.339,0.592,0.169,0.233,0.307,0.193,0.029,0.126,,0.201,0.142,0.743,0.637,0.709,0.124,0.903,0.125,0.423,0.483,0.652,0.032,0.056,0.133,0.655,0.11,0.125,0.071,0.352,0.612,0.6,0.22,0.097,0.276,0.9,0.9,0.3,0.277,0.011,0.317,,,0.065,,,0.639,,0.096,0.343,0.951,,,,,,,,
2026-06-12,300274,阳光电源,1468.35,1.0,0.562,0.339,0.188,0.051,0.77,0.452,0.262,0.003,0.4,,0.48,0.042,0.827,0.863,0.487,0.535,0.099,0.237,0.664,0.724,0.764,0.424,0.233,0.249,0.8,0.562,0.795,0.738,0.204,0.061,0.336,0.314,0.496,0.82,0.9,0.9,0.46,0.157,0.006,0.735,,,0.864,,,0.268,,0.834,0.18,0.503,,,,,,,,
2026-06-12,600111,北方稀土,1000.66,0.999,0.824,0.339,0.438,0.801,0.642,0.747,0.801,0.076,0.802,,0.71,0.772,0.673,0.393,0.122,0.817,0.535,0.503,0.541,0.535,0.729,0.086,0.291,0.227,0.393,0.824,0.898,0.875,0.155,0.463,0.752,0.796,0.879,0.849,0.9,0.9,0.628,0.511,0.009,0.488,,,0.914,,,0.308,,0.205,0.396,0.656,,,,,,,,
2026-06-12,002415,海康威视,736.79,0.999,0.631,0.339,0.274,0.707,0.677,0.736,0.683,0.091,0.488,,0.471,0.658,0.476,0.425,0.576,0.527,0.161,0.25,0.086,0.062,0.128,0.206,0.172,0.115,0.077,0.631,0.652,0.58,0.122,0.245,0.282,0.454,0.441,0.533,0.9,0.9,0.049,0.382,0.018,0.011,,,0.595,,,0.202,,0.66,0.955,0.967,,,,,,,,
2026-06-12,688525,佰维存储,327.9,0.999,0.795,0.339,0.17,0.751,0.897,0.947,0.899,0.155,0.911,,0.895,0.711,0.995,0.994,0.539,0.878,0.863,0.566,0.926,0.867,0.831,0.149,0.11,0.031,0.883,0.795,0.881,0.785,0.173,0.463,0.708,0.739,0.895,0.957,0.9,0.9,0.668,0.014,0.008,0.725,,,0.783,,,0.819,,0.876,0.889,0.466,,,,,,,,
2026-06-12,600176,中国巨石,812.77,0.999,0.743,0.339,0.083,0.701,0.962,0.943,0.944,0.192,0.924,,0.962,0.651,0.953,0.984,0.498,0.932,0.29,0.749,0.874,0.836,0.839,0.457,0.345,0.675,0.748,0.743,0.644,0.655,0.06,0.14,0.448,0.935,0.89,0.982,0.9,0.9,0.647,0.1,0.014,0.796,,,0.713,,,0.932,,0.853,0.779,0.645,,,,,,,,
2026-06-12,600276,恒瑞医药,3174.97,0.998,0.736,0.339,0.715,0.591,0.574,0.712,0.783,0.995,0.782,,0.844,0.523,0.312,0.374,0.179,0.816,0.073,0.95,0.157,0.304,0.254,0.628,0.639,0.246,0.176,0.736,0.881,0.794,0.195,0.383,0.694,0.806,0.792,0.878,0.9,0.9,0.444,0.805,0.008,0.191,,,0.816,,,0.747,,0.861,0.618,0.734,,,,,,,,
2026-06-12,300604,长川科技,1557.24,0.998,0.7,0.339,0.223,0.882,0.892,0.852,0.824,0.01,0.818,,0.929,0.864,0.989,0.991,0.949,0.836,0.878,0.898,0.842,0.836,0.835,0.147,0.28,0.319,0.876,0.7,0.758,0.759,0.059,0.188,0.582,0.877,0.721,0.777,0.9,0.9,0.803,0.003,0.019,0.901,,,0.836,,,0.924,,0.911,0.725,0.774,,,,,,,,
2026-06-12,300750,宁德时代,769.76,0.998,0.705,0.339,0.323,0.353,0.669,0.753,0.653,0.027,0.456,,0.588,0.285,0.842,0.791,0.171,0.611,0.084,0.363,0.433,0.226,0.451,0.669,0.52,0.749,0.199,0.705,0.837,0.705,0.18,0.254,0.475,0.388,0.613,0.634,0.9,0.9,0.464,0.685,0.001,0.163,,,0.741,,,0.236,,0.707,0.535,0.705,,,,,,,,
2026-06-12,600498,烽火通信,238.9,0.998,0.934,0.339,0.135,0.976,0.945,0.997,0.979,0.989,0.982,,0.958,0.975,0.895,0.858,0.157,0.962,0.573,0.834,0.929,0.867,0.937,0.088,0.134,0.345,0.81,0.934,0.721,0.848,0.793,0.818,0.661,0.954,0.976,0.906,0.9,0.9,0.851,0.266,0.025,0.948,,,0.761,,,0.822,,0.671,0.879,0.34,,,,,,,,
2026-06-12,603993,洛阳钼业,71.42,0.998,0.916,0.339,0.249,0.834,0.851,0.893,0.9,0.464,0.892,,0.89,0.809,0.987,0.86,0.01,0.893,0.855,0.99,0.89,0.791,0.921,0.572,0.652,0.513,0.54,0.916,0.899,0.901,0.292,0.55,0.718,0.925,0.959,0.882,0.9,0.9,0.536,0.971,0.02,0.609,,,0.928,,,0.686,,0.634,0.622,0.351,,,,,,,,
